issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
61,Energy.gov,https://energy.gov/,https://www.energy.gov/,200,true,true,10907,false,0,0,0,0,,Skipped (not requested),true,916,5,18,39,aria-allowed-role,,true,2480,52,31,21,44,0,aria_attribute_redundant;aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_tabbable_role_valid;element_tabbable_unobscured;frame_src_valid;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_contrast_sufficient;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),21,,Department of Energy
61,Energy.gov,https://energy.gov/cio/accessibility-standard-statement,https://energy.gov/cio/accessibility-standard-statement,,false,false,254,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
61,Energy.gov,https://energy.gov/gdo/funding-opportunities-and-requests-information,https://www.energy.gov/gdo/funding-opportunities-and-requests-information,200,true,true,9646,false,0,0,0,0,,Skipped (not requested),true,1746,0,17,42,,,true,4355,55,41,14,14,0,aria_content_in_landmark;aria_role_redundant;element_tabbable_unobscured;input_label_visible;label_name_visible;style_color_misuse;style_highcontrast_visible;text_block_heading;text_contrast_sufficient;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),14,,Funding Opportunities and Requests for Information | Department of Energy
61,Energy.gov,https://energy.gov/apprenticeships-workforce-development,https://energy.gov/apprenticeships-workforce-development,,false,false,254,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
61,Energy.gov,https://energy.gov/budget-performance,https://energy.gov/budget-performance,,false,false,253,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
61,Energy.gov,https://energy.gov/commercialization,https://www.energy.gov/commercialization,200,true,true,8188,false,0,0,0,0,,Skipped (not requested),true,815,0,9,48,,,true,2251,32,18,14,25,0,aria_content_in_landmark;aria_role_redundant;element_tabbable_unobscured;input_label_visible;style_color_misuse;style_highcontrast_visible;text_block_heading;text_contrast_sufficient,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),14,,Commercialization | Department of Energy
61,Energy.gov,https://energy.gov/contact-us,https://energy.gov/contact-us,,false,false,255,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
61,Energy.gov,https://energy.gov/design,https://energy.gov/design,,false,false,252,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
61,Energy.gov,https://energy.gov/digital-engagement-and-media,https://www.energy.gov/digital-engagement-and-media,200,true,true,6636,false,0,0,0,0,,Skipped (not requested),true,773,0,8,46,,,true,1857,23,16,7,22,0,aria_content_in_landmark;aria_role_redundant;element_tabbable_unobscured;input_label_visible;style_color_misuse;style_highcontrast_visible;text_block_heading;text_contrast_sufficient,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),7,,Digital Engagement and Media | Department of Energy
61,Energy.gov,https://energy.gov/EDF,https://energy.gov/EDF,,false,false,253,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
